# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jan 12 06:37:51 2022
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
2.552186679e+00 5.93618e-19 5.94188e-19 9.99975e-01 9.99979e-01 9.99995e-01 9.99999e-01 9.97389e-01 9.99999e-01 9.99999e-01 9.99816e-01 9.99999e-01
2.553888136e+00 3.12951e-09 3.13079e-09 9.99969e-01 9.99977e-01 9.99994e-01 9.99999e-01 9.97558e-01 9.99999e-01 9.99999e-01 9.99816e-01 9.99999e-01
2.555590728e+00 1.08977e-05 1.09055e-05 9.99961e-01 9.99983e-01 9.99996e-01 9.99999e-01 9.96673e-01 9.99999e-01 9.99999e-01 9.99817e-01 9.99999e-01
2.557294456e+00 3.42023e-06 3.42340e-06 9.99959e-01 9.99987e-01 9.99996e-01 9.99999e-01 9.95631e-01 9.99999e-01 9.99999e-01 9.99817e-01 9.99999e-01
2.558999319e+00 3.15443e-10 3.15729e-10 9.99967e-01 9.99988e-01 9.99997e-01 9.99999e-01 9.91144e-01 9.99999e-01 9.99999e-01 9.99817e-01 9.99999e-01
2.560705318e+00 2.62291e-30 2.62569e-30 9.99974e-01 9.99991e-01 9.99996e-01 9.99999e-01 9.84204e-01 9.99999e-01 9.99999e-01 9.99818e-01 9.99999e-01
2.562412455e+00 2.00502e-73 2.00790e-73 9.99979e-01 9.99992e-01 9.99994e-01 9.99999e-01 9.91163e-01 9.99999e-01 9.99999e-01 9.99818e-01 9.99999e-01
2.564120730e+00 1.20371e-70 1.20444e-70 9.99984e-01 9.99993e-01 9.99991e-01 9.99999e-01 9.96550e-01 9.99999e-01 9.99999e-01 9.99819e-01 9.99999e-01
2.565830144e+00 1.29005e-17 1.29167e-17 9.99985e-01 9.99994e-01 9.99988e-01 9.99999e-01 9.83896e-01 9.99999e-01 9.99999e-01 9.99819e-01 9.99999e-01
2.567540697e+00 2.15990e-17 2.16153e-17 9.99978e-01 9.99996e-01 9.99982e-01 9.99999e-01 9.89212e-01 9.99999e-01 9.99999e-01 9.99820e-01 9.99999e-01
2.569252391e+00 1.53226e-43 1.53321e-43 9.99969e-01 9.99982e-01 9.99975e-01 9.99999e-01 9.88626e-01 9.99999e-01 9.99999e-01 9.99820e-01 9.99999e-01
2.570965226e+00 5.07915e-29 5.08656e-29 9.99952e-01 9.99971e-01 9.99955e-01 9.99999e-01 9.87169e-01 9.99999e-01 9.99999e-01 9.99821e-01 9.99999e-01
2.572679203e+00 1.06774e-29 1.06870e-29 9.99919e-01 9.99974e-01 9.99921e-01 9.99999e-01 9.84543e-01 9.99999e-01 9.99999e-01 9.99821e-01 9.99999e-01
2.574394322e+00 7.78973e-65 7.79868e-65 9.99884e-01 9.99985e-01 9.99846e-01 9.99999e-01 9.91795e-01 9.99999e-01 9.99999e-01 9.99822e-01 9.99999e-01
2.576110585e+00 2.16997e-44 2.17142e-44 9.99797e-01 9.99995e-01 9.99738e-01 9.99999e-01 9.91547e-01 9.99999e-01 9.99999e-01 9.99822e-01 9.99999e-01
2.577827992e+00 6.92115e-27 6.92504e-27 9.99755e-01 9.99992e-01 9.99549e-01 9.99999e-01 9.98919e-01 9.99999e-01 9.99999e-01 9.99823e-01 9.99999e-01
2.579546544e+00 1.36032e-24 1.36126e-24 9.99609e-01 9.99991e-01 9.99411e-01 9.99999e-01 9.94977e-01 9.99999e-01 9.99999e-01 9.99823e-01 9.99999e-01
2.581266242e+00 5.47117e-39 5.47492e-39 9.99579e-01 9.99990e-01 9.99260e-01 9.99999e-01 9.98573e-01 9.99999e-01 9.99999e-01 9.99824e-01 9.99999e-01
2.582987086e+00 5.63588e-60 5.64020e-60 9.99502e-01 9.99989e-01 9.99132e-01 9.99999e-01 9.94456e-01 9.99999e-01 9.99999e-01 9.99824e-01 9.99999e-01
2.584709077e+00 1.26841e-60 1.26941e-60 9.99453e-01 9.99989e-01 9.99063e-01 9.99999e-01 9.96646e-01 9.99999e-01 9.99999e-01 9.99825e-01 9.99999e-01
2.586432217e+00 6.96815e-54 6.98175e-54 9.99542e-01 9.99982e-01 9.98809e-01 9.99999e-01 9.69299e-01 9.99999e-01 9.99999e-01 9.99825e-01 9.99999e-01
2.588156505e+00 3.78162e-98 3.79930e-98 9.99611e-01 9.99367e-01 9.97979e-01 9.99999e-01 9.74892e-01 9.99999e-01 9.99999e-01 9.99826e-01 9.99999e-01
2.589881943e+00 1.65022e-41 1.65472e-41 9.99703e-01 9.99267e-01 9.96594e-01 9.99999e-01 9.86389e-01 9.99999e-01 9.99999e-01 9.99826e-01 9.99999e-01
2.591608531e+00 1.49799e-41 1.50185e-41 9.99870e-01 9.99463e-01 9.93739e-01 9.99999e-01 9.85766e-01 9.99999e-01 9.99999e-01 9.99826e-01 9.99999e-01
2.593336270e+00 1.58450e-141 1.58894e-141 9.99892e-01 9.99700e-01 9.91456e-01 9.99999e-01 9.94393e-01 9.99999e-01 9.99999e-01 9.99827e-01 9.99999e-01
2.595065160e+00 0.00000e+00 0.00000e+00 9.99743e-01 9.99911e-01 9.88217e-01 9.99999e-01 9.90904e-01 9.99999e-01 9.99999e-01 9.99827e-01 9.99999e-01
2.596795204e+00 9.88303e-87 9.91730e-87 9.99600e-01 9.99937e-01 9.84795e-01 9.99999e-01 9.95018e-01 9.99999e-01 9.99999e-01 9.99828e-01 9.99999e-01
2.598526401e+00 1.31769e-31 1.32262e-31 9.99432e-01 9.99672e-01 9.86698e-01 9.99999e-01 9.96310e-01 9.99999e-01 9.99999e-01 9.99828e-01 9.99999e-01
2.600258752e+00 6.39963e-32 6.42368e-32 9.99247e-01 9.99803e-01 9.86713e-01 9.99999e-01 9.91071e-01 9.99999e-01 9.99999e-01 9.99829e-01 9.99999e-01
2.601992257e+00 2.85962e-76 2.86825e-76 9.98823e-01 9.99822e-01 9.88286e-01 9.99999e-01 9.92558e-01 9.99999e-01 9.99999e-01 9.99829e-01 9.99999e-01
2.603726919e+00 1.82684e-98 1.83096e-98 9.98351e-01 9.99818e-01 9.93445e-01 9.99999e-01 9.96585e-01 9.99999e-01 9.99999e-01 9.99830e-01 9.99999e-01
2.605462737e+00 4.64069e-200 4.64670e-200 9.97454e-01 9.99799e-01 9.96553e-01 9.99999e-01 9.95638e-01 9.99999e-01 9.99999e-01 9.99830e-01 9.99999e-01
2.607199712e+00 3.91397e-84 3.91881e-84 9.95911e-01 9.99795e-01 9.97724e-01 9.99999e-01 9.96175e-01 9.99999e-01 9.99999e-01 9.99831e-01 9.99999e-01
2.608937845e+00 2.24092e-76 2.24515e-76 9.96621e-01 9.99797e-01 9.94302e-01 9.99999e-01 9.96341e-01 9.99999e-01 9.99999e-01 9.99831e-01 9.99999e-01
2.610677137e+00 2.43680e-40 2.44310e-40 9.95089e-01 9.99824e-01 9.92742e-01 9.99999e-01 9.95469e-01 9.99999e-01 9.99999e-01 9.99831e-01 9.99999e-01
2.612417589e+00 2.43607e-40 2.44261e-40 9.93627e-01 9.99862e-01 9.91051e-01 9.99999e-01 9.89852e-01 9.99999e-01 9.99999e-01 9.99832e-01 9.99999e-01
2.614159200e+00 7.52623e-60 7.54587e-60 9.94973e-01 9.99865e-01 9.89597e-01 9.99999e-01 9.97640e-01 9.99999e-01 9.99999e-01 9.99832e-01 9.99999e-01
2.615901973e+00 7.59467e-90 7.61245e-90 9.94192e-01 9.99901e-01 9.92242e-01 9.99999e-01 9.94113e-01 9.99999e-01 9.99999e-01 9.99833e-01 9.99999e-01
2.617645908e+00 2.18463e-131 2.18870e-131 9.95301e-01 9.99903e-01 9.93310e-01 9.99999e-01 9.97195e-01 9.99999e-01 9.99999e-01 9.99833e-01 9.99999e-01
2.619391005e+00 3.80649e-124 3.81211e-124 9.97939e-01 9.99907e-01 9.91393e-01 9.99999e-01 9.98580e-01 9.99999e-01 9.99999e-01 9.99834e-01 9.99999e-01
2.621137266e+00 9.20540e-60 9.21683e-60 9.99081e-01 9.99940e-01 9.93079e-01 9.99999e-01 9.95529e-01 9.99999e-01 9.99999e-01 9.99834e-01 9.99999e-01
2.622884690e+00 7.86196e-30 7.87092e-30 9.99109e-01 9.99953e-01 9.93847e-01 9.99999e-01 9.98988e-01 9.99999e-01 9.99999e-01 9.99835e-01 9.99999e-01
2.624633280e+00 3.07074e-30 3.07472e-30 9.96541e-01 9.99963e-01 9.95407e-01 9.99999e-01 9.97472e-01 9.99999e-01 9.99999e-01 9.99835e-01 9.99999e-01
2.626383036e+00 2.27037e-63 2.27292e-63 9.96660e-01 9.99968e-01 9.96406e-01 9.99999e-01 9.98643e-01 9.99999e-01 9.99999e-01 9.99835e-01 9.99999e-01
